G2á'Ö˜Fñ÷W7F◊”#sc3Cìí¬'76ì“”¬6Á#”R„¬6g'É”r¬6gGÉ”r¬GÖ˜G&ñ«3”¬GÖ˜˜vW#”B¬GÖ˜Fñ÷UˆˆÂˆó#”#B¬GÖˆ6˜VÁFW#”ÉSR¬GÖˆg&WVVÊ7ì”ÉcÉê£#ÇÛrÛ##c££#R◊6rÜí'VVÊ6ˆ&W'GW&6ˆ‚∆&W6ñFVÊ6ñCìCÇ7FG2á'Ö˜Fñ÷W7F◊”#sC3#SCìb rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:22 msg Hay buena cobertura con la residencia 4969 stats (rx_timestamp=2771467464, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:25 msg Hay buena cobertura con la residencia 4970 stats (rx_timestamp=2774084434, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:27 msg Hay buena cobertura con la residencia 4971 stats (rx_timestamp=2776702437, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:30 msg Hay buena cobertura con la residencia 4972 stats (rx_timestamp=2779315431, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:33 msg Hay buena cobertura con la residencia 4973 stats (rx_timestamp=2781961451, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:36 msg Hay buena cobertura con la residencia 4974 stats (rx_timestamp=2784829446, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:38 msg Hay buena cobertura con la residencia 4975 stats (rx_timestamp=2787482448, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:41 msg Hay buena cobertura con la residencia 4976 stats (rx_timestamp=2790157376, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:44 msg Hay buena cobertura con la residencia 4977 stats (rx_timestamp=2792856417, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:46 msg Hay buena cobertura con la residencia 4978 stats (rx_timestamp=2795504418, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:49 msg Hay buena cobertura con la residencia 4979 stats (rx_timestamp=2798168368, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:52 msg Hay buena cobertura con la residencia 4980 stats (rx_timestamp=2800835429, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:54 msg Hay buena cobertura con la residencia 4981 stats (rx_timestamp=2803471428, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:2:57 msg Hay buena cobertura con la residencia 4982 stats (rx_timestamp=2806117422, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:0 msg Hay buena cobertura con la residencia 4983 stats (rx_timestamp=2808943421, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:2 msg Hay buena cobertura con la residencia 4984 stats (rx_timestamp=2811558402, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:5 msg Hay buena cobertura con la residencia 4985 stats (rx_timestamp=2814176419, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:7 msg Hay buena cobertura con la residencia 4986 stats (rx_timestamp=2816809418, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:10 msg Hay buena cobertura con la residencia 4987 stats (rx_timestamp=2819460412, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:13 msg Hay buena cobertura con la residencia 4988 stats (rx_timestamp=2822141409, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:16 msg Hay buena cobertura con la residencia 4989 stats (rx_timestamp=2824826407, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:18 msg Hay buena cobertura con la residencia 4990 stats (rx_timestamp=2827488379, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:19 msg Hay buena cobertura con la residencia 4991 stats (rx_timestamp=2828326486, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:21 msg Hay buena cobertura con la residencia 4992 stats (rx_timestamp=2830646398, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:24 msg Token 30aea458f354 30aea474cbcc 30aea458f354 stats (rx_timestamp=2833524373, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:27 msg Hay buena cobertura con la residencia 4993 stats (rx_timestamp=2836199327, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:30 msg Hay buena cobertura con la residencia 4994 stats (rx_timestamp=2838848389, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:32 msg Hay buena cobertura con la residencia 4995 stats (rx_timestamp=2841564383, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:35 msg Hay buena cobertura con la residencia 4996 stats (rx_timestamp=2844198381, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:38 msg Hay buena cobertura con la residencia 4997 stats (rx_timestamp=2846856356, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:41 msg Hay buena cobertura con la residencia 4998 stats (rx_timestamp=2850051380, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:43 msg Hay buena cobertura con la residencia 4999 stats (rx_timestamp=2852610373, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:46 msg Hay buena cobertura con la residencia 5000 stats (rx_timestamp=2855290349, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:49 msg Hay buena cobertura con la residencia 5001 stats (rx_timestamp=2857949348, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:51 msg Hay buena cobertura con la residencia 5002 stats (rx_timestamp=2860782344, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:54 msg Hay buena cobertura con la residencia 5003 stats (rx_timestamp=2863471359, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:3:57 msg Hay buena cobertura con la residencia 5004 stats (rx_timestamp=2866199364, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:0 msg Hay buena cobertura con la residencia 5005 stats (rx_timestamp=2868888359, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:2 msg Hay buena cobertura con la residencia 5006 stats (rx_timestamp=2871601285, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:5 msg Hay buena cobertura con la residencia 5007 stats (rx_timestamp=2874266327, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:8 msg Hay buena cobertura con la residencia 5008 stats (rx_timestamp=2876958320, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:10 msg Hay buena cobertura con la residencia 5009 stats (rx_timestamp=2879609343, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:13 msg Hay buena cobertura con la residencia 5010 stats (rx_timestamp=2882323348, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:16 msg Hay buena cobertura con la residencia 5011 stats (rx_timestamp=2885178335, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:19 msg Hay buena cobertura con la residencia 5012 stats (rx_timestamp=2887860333, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:19 msg Hay buena cobertura con la residencia 5013 stats (rx_timestamp=2888758653, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:22 msg Hay buena cobertura con la residencia 5014 stats (rx_timestamp=2890993332, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:24 msg Token 30aea458f354 30aea474cbcc 30aea458f354 stats (rx_timestamp=2893715312, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:27 msg Hay buena cobertura con la residencia 5015 stats (rx_timestamp=2896438307, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:30 msg Hay buena cobertura con la residencia 5016 stats (rx_timestamp=2899124328, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:33 msg Hay buena cobertura con la residencia 5017 stats (rx_timestamp=2901823327, rssi=-102, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:35 msg Hay buena cobertura con la residencia 5018 stats (rx_timestamp=2904530296, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:41 msg Hay buena cobertura con la residencia 5019 stats (rx_timestamp=2910099316, rssi=-102, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:43 msg Hay buena cobertura con la residencia 5020 stats (rx_timestamp=2912795311, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:46 msg Hay buena cobertura con la residencia 5022 stats (rx_timestamp=2915476317, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:49 msg Hay buena cobertura con la residencia 5023 stats (rx_timestamp=2918136312, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:51 msg Hay buena cobertura con la residencia 5024 stats (rx_timestamp=2920815283, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:54 msg Hay buena cobertura con la residencia 5025 stats (rx_timestamp=2923542304, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:4:57 msg Hay buena cobertura con la residencia 5026 stats (rx_timestamp=2926250297, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:0 msg Hay buena cobertura con la residencia 5027 stats (rx_timestamp=2928893298, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:2 msg Hay buena cobertura con la residencia 5028 stats (rx_timestamp=2931570295, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:5 msg Hay buena cobertura con la residencia 5029 stats (rx_timestamp=2934280292, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:8 msg Hay buena cobertura con la residencia 5030 stats (rx_timestamp=2937106266, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:10 msg Hay buena cobertura con la residencia 5031 stats (rx_timestamp=2939777292, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:13 msg Hay buena cobertura con la residencia 5032 stats (rx_timestamp=2942483261, rssi=-101, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:16 msg Hay buena cobertura con la residencia 5033 stats (rx_timestamp=2945143270, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:19 msg Hay buena cobertura con la residencia 5034 stats (rx_timestamp=2947855284, rssi=-102, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:20 msg Hay buena cobertura con la residencia 5035 stats (rx_timestamp=2949244854, rssi=-93, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:21 msg Hay buena cobertura con la residencia 5036 stats (rx_timestamp=2950545282, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:24 msg Token 30aea458f354 30aea474cbcc 30aea458f354 stats (rx_timestamp=2953235251, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:27 msg Hay buena cobertura con la residencia 5037 stats (rx_timestamp=2955952247, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:29 msg Hay buena cobertura con la residencia 5038 stats (rx_timestamp=2958648245, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:32 msg Hay buena cobertura con la residencia 5039 stats (rx_timestamp=2961528240, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:35 msg Hay buena cobertura con la residencia 5040 stats (rx_timestamp=2964244261, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:38 msg Hay buena cobertura con la residencia 5041 stats (rx_timestamp=2966957259, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:40 msg Hay buena cobertura con la residencia 5042 stats (rx_timestamp=2969612256, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:43 msg Hay buena cobertura con la residencia 5043 stats (rx_timestamp=2972276253, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:46 msg Hay buena cobertura con la residencia 5044 stats (rx_timestamp=2974942227, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:48 msg Hay buena cobertura con la residencia 5045 stats (rx_timestamp=2977614223, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:54 msg Hay buena cobertura con la residencia 5046 stats (rx_timestamp=2982998245, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:57 msg Hay buena cobertura con la residencia 5047 stats (rx_timestamp=2985891237, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:5:59 msg Hay buena cobertura con la residencia 5049 stats (rx_timestamp=2988618237, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:2 msg Hay buena cobertura con la residencia 5050 stats (rx_timestamp=2991299210, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:5 msg Hay buena cobertura con la residencia 5051 stats (rx_timestamp=2993951228, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:7 msg Hay buena cobertura con la residencia 5052 stats (rx_timestamp=2996600203, rssi=-101, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:10 msg Hay buena cobertura con la residencia 5053 stats (rx_timestamp=2999245148, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:13 msg Hay buena cobertura con la residencia 5054 stats (rx_timestamp=3001889222, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 16:6:15 msg Hay buena cobertura con la residencia 5055 stats (rx_timestamp=3004533211, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
